# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1651464867, 0, 0, 328, 328, 1, 2.45%, 0, 0, 2, 6842.36, 36100
1651464872, 0, 180, 524, 521, 119, 2.54%, 0, 0, 3, 6975.81, 71804
1651464877, 0, 220, 581, 576, 124, 2.60%, 0, 0, 3, 7679.16, 112412
1651464882, 0, 602, 642, 636, 126, 2.66%, 0, 0, 4, 7716.78, 152571
1651464887, 0, 668, 693, 683, 130, 2.66%, 0, 0, 4, 7232.85, 189708
1651464892, 0, 523, 716, 705, 132, 2.68%, 0, 0, 4, 6975.08, 223324
1651464897, 0, 719, 736, 720, 130, 2.70%, 0, 0, 5, 7634.47, 262538
1651464902, 0, 502, 773, 751, 124, 2.72%, 0, 0, 5, 7168.34, 299789
1651464907, 0, 806, 851, 819, 120, 2.78%, 0, 0, 5, 6874.28, 334150
1651464912, 0, 723, 867, 833, 131, 2.80%, 0, 0, 5, 7297.16, 370733
1651464917, 0, 867, 900, 861, 132, 2.84%, 0, 0, 6, 6782.76, 405745
1651464922, 0, 587, 920, 877, 131, 2.84%, 0, 0, 6, 6988.15, 443384
1651464927, 0, 269, 953, 908, 128, 2.88%, 0, 0, 6, 6860.20, 474165
1651464932, 0, 845, 979, 930, 134, 2.91%, 0, 0, 6, 6962.20, 509690
1651464938, 0, 976, 998, 940, 135, 2.91%, 0, 0, 7, 6856.54, 544679
1651464943, 0, 950, 1016, 952, 131, 2.95%, 0, 0, 7, 7052.22, 580672
1651464948, 0, 197, 1039, 963, 124, 2.95%, 0, 0, 7, 7242.69, 618492
1651464953, 0, 1000, 1085, 997, 114, 2.98%, 0, 0, 7, 4145.56, 637824
1651464958, 0, 1013, 1121, 1021, 106, 3.00%, 0, 0, 7, 5835.92, 664962
1651464963, 0, 899, 1141, 1033, 101, 3.01%, 0, 0, 7, 7138.48, 703641
1651464968, 0, 1116, 1149, 1040, 102, 3.02%, 0, 0, 7, 6483.89, 735496
1651464973, 0, 975, 1167, 1053, 97, 3.03%, 0, 0, 8, 6571.80, 768474
